slug,product_name,image_url_1,image_url_2,image_url_3
t500-fitpro-smart-watch,T500 FitPro Smart Watch,https://rukminim2.flixcart.com/image/832/832/xif0q/smart-watch-band-strap/t/9/6/t500-smartwatch-with-bluetooth-calling-heart-rate-monitor-original-imagkyv2hdg8n6rg.jpeg?q=90,https://rukminim2.flixcart.com/image/832/832/xif0q/smartwatch/y/l/7/43-t500-smart-watch-0-1-android-fitpro-yes-original-imagkxsjxkf8nc9f.jpeg?q=90,https://rukminim2.flixcart.com/image/832/832/xif0q/smartwatch/u/e/9/43-t500-smart-watch-0-1-android-fitpro-yes-original-imagkxsjemhhsh3t.jpeg?q=90
gw-9775-hair-clipper,GW-9775 Hair Clipper,https://rukminim2.flixcart.com/image/832/832/kk1h5e80/trimmer/o/s/7/1-9-mm-stainless-steel-km-2600a-usb-rechargeable-hair-clipper-original-imafzh8cyvugzg9a.jpeg?q=90,https://rukminim2.flixcart.com/image/832/832/kk1h5e80/trimmer/6/j/v/1-9-mm-stainless-steel-km-2600a-usb-rechargeable-hair-clipper-original-imafzh8cdxh3btvy.jpeg?q=90,
hf-f3-solar-bluetooth-speaker,HF-F3 Solar Bluetooth Speaker,https://m.media-amazon.com/images/I/71SxxLzdxNL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/714kXqRXKBL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81D8x1FLvQL._AC_SL1500_.jpg
a16-portable-juicer,A16 Portable Juicer,https://rukminim2.flixcart.com/image/832/832/jxjahe80/mixer-grinder-juicer/k/7/t/triangle-ant-380ml-rechargeable-usb-juicer-cup-portable-blender-original-imafhvzz7qewctyq.jpeg?q=90,https://rukminim2.flixcart.com/image/832/832/jxjahe80/mixer-grinder-juicer/k/7/t/triangle-ant-380ml-rechargeable-usb-juicer-cup-portable-blender-original-imafhvp3grkffcyu.jpeg?q=90,https://rukminim2.flixcart.com/image/832/832/jxjahe80/mixer-grinder-juicer/k/7/t/triangle-ant-380ml-rechargeable-usb-juicer-cup-portable-blender-original-imafhvpd2v7mdyy9.jpeg?q=90
gw-8032-electric-kettle,GW-8032 Electric Kettle,https://rukminim2.flixcart.com/image/832/832/l0lbrm80/electric-kettle/d/y/b/electric-kettle-used-for-boiling-water-tea-coffee-etc-stainless-original-imagccdayxngezbk.jpeg?q=90,https://rukminim2.flixcart.com/image/832/832/kuipea80/electric-kettle/2/v/r/multipurpose-electric-kettle-1-5-litres-with-stainless-steel-original-imag7mkuqsszgrhu.jpeg?q=90,https://rukminim2.flixcart.com/image/832/832/kuipea80/electric-kettle/y/u/i/multipurpose-electric-kettle-1-5-litres-with-stainless-steel-original-imag7mkuy425krzw.jpeg?q=90
