product_name,status,cloudinary_url_1,cloudinary_url_2,cloudinary_url_3,error
115 in 1 TOOL SET FOR NINTENDO SWITCH/PS4/PS5/XBOX SERIES,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046821/cx-electronics/products/115-in-1-tool-set-for-nintendo-switchps4ps5xbox-series-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046822/cx-electronics/products/115-in-1-tool-set-for-nintendo-switchps4ps5xbox-series-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046824/cx-electronics/products/115-in-1-tool-set-for-nintendo-switchps4ps5xbox-series-3.jpg,
12 DIGIT SOLAR ELECTRIC CALCULATOR WITH 240 FUNCTIONS,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046825/cx-electronics/products/12-digit-solar-electric-calculator-with-240-functions-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046827/cx-electronics/products/12-digit-solar-electric-calculator-with-240-functions-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046828/cx-electronics/products/12-digit-solar-electric-calculator-with-240-functions-3.jpg,
12V 15A Intelligent Pulse Charger,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046830/cx-electronics/products/12v-15a-intelligent-pulse-charger-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046831/cx-electronics/products/12v-15a-intelligent-pulse-charger-2.jpg,,
"13-Piece Pink Cookware Set with Glass Lids, Non-Stick Coating, Includes Pots, Frying Pan, Kitchen Utensils",ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046833/cx-electronics/products/13-piece-pink-cookware-set-with-glass-lids-non-stick-coating-includes-pots-fryin-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046834/cx-electronics/products/13-piece-pink-cookware-set-with-glass-lids-non-stick-coating-includes-pots-fryin-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046836/cx-electronics/products/13-piece-pink-cookware-set-with-glass-lids-non-stick-coating-includes-pots-fryin-3.jpg,
15M Sprial Hose with 5 Functions,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046839/cx-electronics/products/15m-sprial-hose-with-5-functions-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046841/cx-electronics/products/15m-sprial-hose-with-5-functions-2.jpg,,
"16"" CHILDRENS'S LCD ERASABLE AND REUSABLE DOODLE WRITING TABLET - SET OF 3",ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046843/cx-electronics/products/16-childrenss-lcd-erasable-and-reusable-doodle-writing-tablet-set-of-3-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046844/cx-electronics/products/16-childrenss-lcd-erasable-and-reusable-doodle-writing-tablet-set-of-3-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046846/cx-electronics/products/16-childrenss-lcd-erasable-and-reusable-doodle-writing-tablet-set-of-3-3.jpg,
2 BAR CERAMIC ELECTRIC HEATER - DGM-QHR47,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046848/cx-electronics/products/2-bar-ceramic-electric-heater-dgm-qhr47-1.jpg,,,
2 USB AUTO-ID CAR CHARGER ADAPTER - 2.4A - TC-03,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046849/cx-electronics/products/2-usb-auto-id-car-charger-adapter-24a-tc-03-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046851/cx-electronics/products/2-usb-auto-id-car-charger-adapter-24a-tc-03-2.jpg,,
"2-in-1 Bluetooth Transmitter and Receiver, Wireless Audio Adapter, 3.5mm AUX and Type-C, Bluetooth 5.3 Technology, Dual-Link Connectivity",ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046852/cx-electronics/products/2-in-1-bluetooth-transmitter-and-receiver-wireless-audio-adapter-35mm-aux-and-ty-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046854/cx-electronics/products/2-in-1-bluetooth-transmitter-and-receiver-wireless-audio-adapter-35mm-aux-and-ty-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046855/cx-electronics/products/2-in-1-bluetooth-transmitter-and-receiver-wireless-audio-adapter-35mm-aux-and-ty-3.jpg,
2-LAYER DISH DRAINER,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046857/cx-electronics/products/2-layer-dish-drainer-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046858/cx-electronics/products/2-layer-dish-drainer-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046860/cx-electronics/products/2-layer-dish-drainer-3.jpg,
20-LED SOLAR POWERED LED WALL LIGHT with PIR SENSOR + CDS NIGHT SENSOR - SET OF 6,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046862/cx-electronics/products/20-led-solar-powered-led-wall-light-with-pir-sensor-cds-night-sensor-set-of-6-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046864/cx-electronics/products/20-led-solar-powered-led-wall-light-with-pir-sensor-cds-night-sensor-set-of-6-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046865/cx-electronics/products/20-led-solar-powered-led-wall-light-with-pir-sensor-cds-night-sensor-set-of-6-3.jpg,
20×1W SIGN LED DC 12V 3 SMD MODULE WATERPROOF SUPER BRIGHT - WARM WHITE,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046867/cx-electronics/products/201w-sign-led-dc-12v-3-smd-module-waterproof-super-bright-warm-white-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046868/cx-electronics/products/201w-sign-led-dc-12v-3-smd-module-waterproof-super-bright-warm-white-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046870/cx-electronics/products/201w-sign-led-dc-12v-3-smd-module-waterproof-super-bright-warm-white-3.jpg,
