slug,product_name,image_url_1,image_url_2,image_url_3,Has Variants
drill-brush-set-with-extended-long-attachment-drill-excluded-set-of-3,Drill Brush Set with extended Long Attachment (Drill Excluded) - Set of 3,https://m.media-amazon.com/images/I/6117p1DC7XL._AC_SL1010_.jpg,https://m.media-amazon.com/images/I/713HJZ2vbEL._AC_SL1010_.jpg,https://m.media-amazon.com/images/I/61lhc24YJrL._AC_SL1010_.jpg,
dual-compartment-insulated-lunch-bag-navy-blue-adjustable-shoulder-strap-bt021-b,"Dual Compartment Insulated Lunch Bag, Navy Blue, Adjustable Shoulder Strap - BT021-BL",https://m.media-amazon.com/images/I/41dyKm+-KML._AC_.jpg,https://m.media-amazon.com/images/I/41ibIMCN4GL._AC_.jpg,,
dual-compartment-insulated-lunch-bag-red-adjustable-shoulder-strap-bt021-r,"Dual Compartment Insulated Lunch Bag, Red, Adjustable Shoulder Strap - BT021-R",https://m.media-amazon.com/images/I/41bWvZBzi7L._AC_.jpg,https://m.media-amazon.com/images/I/41ibIMCN4GL._AC_.jpg,,
dual-dash-camera-1080p-full-hd-130-fov-f20-lens-with-rear-camera-led-night-visio,"Dual Dash Camera, 1080P Full HD, 130° FOV, F/2.0 Lens with Rear Camera, LED Night Vision",https://m.media-amazon.com/images/I/61K+NsxsleL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/61SApR4AglL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/61jK80tQEBL._AC_SL1500_.jpg,
eagle-value-anti-theft-vehicle-alarm-system,EAGLE VALUE ANTI-THEFT VEHICLE ALARM SYSTEM,https://m.media-amazon.com/images/I/61oNYeXNhZL._AC_SL1200_.jpg,https://m.media-amazon.com/images/I/41U2EqM9HsL._AC_.jpg,,
electric-bug-zapper-racket-rechargeable-mosquito-swatter-white,"Electric Bug Zapper Racket, Rechargeable Mosquito Swatter, White",https://m.media-amazon.com/images/I/61vbU6xWrUL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/61OfOmSCP7L._AC_.jpg,,
electric-desoldering-iron-pump-twizzers-and-soldering-machine-for-precisioned-so,"Electric Desoldering Iron Pump, Twizzers and Soldering Machine For Precisioned Soldering - BS-908",https://m.media-amazon.com/images/I/41-8sAESslL._AC_.jpg,,,
electric-fan-heater-white-and-grey-model-dgm-qhs21-compact-desktop-design,"Electric Fan Heater, White and Grey, Model DGM-QHS21, Compact Desktop Design",https://m.media-amazon.com/images/I/61F6lTxQM1L._AC_SL1200_.jpg,https://m.media-amazon.com/images/I/513jFVmuz5L._AC_SL1200_.jpg,,
electric-hand-mixer-with-bowl-7-speed-settings-red-stainless-steel-bowl,"Electric Hand Mixer with Bowl, 7-Speed Settings, Red, Stainless Steel Bowl",https://m.media-amazon.com/images/I/41ZWi6WdAOL._AC_.jpg,https://m.media-amazon.com/images/I/611++VIs+qL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/71-Gni6XIfL._AC_SL1200_.jpg,
electric-heater-with-grill-top-rotary-knob-control-green-and-orange-dgm-qhs97,"Electric Heater with Grill Top, Rotary Knob Control, Green and Orange - DGM-QHS97",https://m.media-amazon.com/images/I/51h6xpJfdQL._AC_.jpg,https://m.media-amazon.com/images/I/81JnnIOwwmL._AC_SL1500_.jpg,,
electric-hot-comb-hair-straightener-ceramic-straightening-iron-frizz-free-3-heat,Electric Hot Comb Hair Straightener Ceramic Straightening Iron Frizz- Free 3 Heating Adjustable Straightener Brush Anti Scald Press Comb Ceramic for Home Professional Salon,https://m.media-amazon.com/images/I/51SRlTCvQtL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/61HIaSBTZuL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/71mBZFpofCL._AC_SL1000_.jpg,
electric-mini-food-processor-250ml-capacity-usb-powered-white,"Electric Mini Food Processor, 250ml Capacity, USB Powered, White",https://m.media-amazon.com/images/I/61hJZ6Q90qL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/61m2Yj1cQrL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71m8U8VoWbL._AC_SL1500_.jpg,
exlusive-2-piece-drldaytime-running-lamp-bumper-fog-lamp-fit-35in,Exlusive 2 PIECE DRL(DAYTIME RUNNING LAMP) Bumper Fog Lamp Fit (3.5IN),https://m.media-amazon.com/images/I/51eLaORzS3L._AC_SL1360_.jpg,https://m.media-amazon.com/images/I/41R-bQjtL4L._AC_.jpg,https://m.media-amazon.com/images/I/31RbEoClUpL._AC_.jpg,
